Times	Conductance score	Conductance score difference	Probability	Random number	Temperature	P value	Number of subnetwork members	Rotation decision	Tissue	Tissue-specific mutated genes
161	0.9620037346756516	-0.0015408987363428	1.870049661555219	0.2463540008724687	0.0024616372594713	8.09625595506026e-11	56	apply	Skin	GNAQ
162	0.9617131732641142	-0.0002905614115373	1.132296926884587	0.1878720382226005	0.0023385553964978	9.213567539713882e-11	57	apply	Skin	GNAQ
163	0.9618661257606492	0.0001529524965349	0.9334694482527124	0.3148239111592259	0.0022216276266729	8.09625595506026e-11	56	apply	Skin	GNAQ
164	0.9614106201864612	-0.0004555055741878	1.2408834005606404	0.6374372071992314	0.0021105462453392	9.213567539713882e-11	57	apply	Skin	GNAQ
165	0.9631313951599804	0.0017207749735191	0.4239101410002797	0.6667587988560728	0.0020050189330723	8.09625595506026e-11	57	refuse	Skin	GNAQ
166	0.9603431531239884	-0.0010674670624729	1.7514051672493205	0.0226550230908777	0.0019047679864187	1.1847089883975194e-10	59	apply	Skin	GNAQ
167	0.9601909539606764	-0.0001521991633118	1.0877483169966864	0.1812896337678651	0.0018095295870977	1.3388308022237683e-10	60	apply	Skin	GNAQ
168	0.9607270366764038	0.0005360827157273	0.7320930354339255	0.9812678022756784	0.0017190531077428	1.1847089883975194e-10	60	refuse	Skin	GNAQ
169	0.9598770425497491	-0.0003139114109271	1.2119347702097345	0.0393209598464752	0.0016331004523557	1.5097337535643434e-10	61	apply	Skin	GNAQ
170	0.9601909539606764	0.0003139114109271	0.8168214049846965	0.6685046962054362	0.0015514454297379	1.3388308022237683e-10	60	apply	Skin	GNAQ
171	0.9611350516302138	0.0009440976695374	0.5269995544966861	0.1405232833213219	0.001473873158251	7.482282729069421e-09	59	apply	Skin	GNAQ
172	0.9652515980986724	0.0041165464684584	0.0528650212840388	0.9653015694336368	0.0014001795003384	6.733420509072715e-09	59	refuse	Skin	GNAQ
173	0.9592034185277756	-0.0019316331024382	4.272373496914686	0.496895524262217	0.0013301705253215	8.298771578959073e-09	60	apply	Skin	GNAQ
174	0.959651387992253	0.0004479694644774	0.7015234037709481	0.9005144212891739	0.0012636619990554	7.482282729069421e-09	60	refuse	Skin	GNAQ
175	0.960873818063254	0.0016703995354784	0.2487158219187843	0.004796328461301	0.0012004788991027	7.482282729069421e-09	59	apply	Skin	GNAQ
176	0.9603090687271248	-0.0005647493361291	1.6408206781672143	0.2839123875176668	0.0011404549541475	8.298771578959073e-09	60	apply	Skin	GNAQ
177	0.9598244429439567	-0.0004846257831681	1.564092920234456	0.961686535385436	0.0010834322064402	3.819893883897658e-07	59	apply	Skin	GNAQ
178	0.9630102999774452	0.0031858570334885	0.0452620164070613	0.5555491737275071	0.0010292605961181	4.159612626443838e-07	59	refuse	Skin	GNAQ
179	0.9586846543001686	-0.0011397886437881	3.208069453975275	0.390711347795461	0.0009777975663122	4.159612626443838e-07	60	apply	Skin	GNAQ
180	0.9587399417907893	5.5287490620670177e-05	0.942217799726807	0.0294017780474834	0.0009289076879966	3.819893883897658e-07	59	apply	Skin	GNAQ
181	0.9583888149134488	-0.0003511268773405	1.4886869318837728	0.9118151452481714	0.0008824623035968	4.159612626443838e-07	60	apply	Skin	GNAQ
182	0.9595033747187734	0.0011145598053247	0.2646133666287301	0.3083366873995072	0.0008383391884169	3.819893883897658e-07	60	refuse	Skin	GNAQ
